dt,request_cnt,total_color_kg,distinct_user_creators,distinct_colors
2024-06-14,2,8.20,2,2
2024-06-13,32,191.61,5,21
2024-06-12,6,11.39,3,5
2024-06-11,30,67.47,5,13
2024-06-10,5,51.83,2,4
2024-06-07,1,0.00,1,1
2024-06-06,12,36.20,4,10
2024-06-05,20,103.38,4,13
2024-06-04,17,36.53,4,8
2024-06-03,3,1.86,2,3
